My Projects,Mes projets
New Project,Nouveau projet
Update file,Mettre à jour la fiche
Put in revision,Demander une révision
Name,Nom
Reference,Référence
Source language,Langue source
Langue de destination,Langue de destination
Level,Level
Number of documents,Nombre de fiches produit
Total word count,Nombre de mots total
Progression,Progression
Status,Statut
Last change,Dernière modification
Actions,Actions
Launch,Lancer
Pause,Pause
Resume,Resume
Complete,Completer
Complete file,Valider la fiche
Duplicate,Dupliquer
Continue,Continuer
Update product,Mettre à jour la fiche produit
Type,Type
Traduction manquante :,Traduction manquante :
Traduction existante,Traduction existante
Project,Projet
Fields to translate,Champs à traduire
Product informations,Product informations
Select all,Sélectionner tout
Deselect all,Déselectionner tout
Nouveau message variable,Votre projet est en cours de création. Cela prendre quelques minutes s'il contient beaucoup de fiches produits. Vous pouvez continuer votre navigation dans Magento et revenir ensuite finaliser votre projet.
Your product descriptions are being approved. This will take a few minutes if you have many. You can use Magento in the meantime and then come back to your project to finish it.,Vos fiches sont en cours de validation. Cela prendre quelques minutes s'il contient beaucoup de fiches produits. Vous pouvez continuer votre navigation dans Magento et revenir ensuite finaliser votre projet.
Languages,Langues
Select a language,Sélectionner une langue
Pricing options,Options tarifaires
Service level,Niveau de qualité
Regular (%s/word): native-speaking translator for word-for-word translations of short texts.,"Regular (0.04 € / mot) : traducteur natif, traduction litérale adaptée pour des textes très courts."
Standard (%s/word): experienced translator; suitable for business use.,"Standard (0.07 € / mot) : traducteur expérimenté, adapté pour un usage professionnel."
Enterprise (%s/word): professional translator specialized in a specific field; suitable for technical or complex content.,"Enterprise (0.13 € / mot) : traducteur professionnel spécialisé, adapté pour des contenus techniques et complexes."
Quality Control (+%s/word),Contrôle qualité (+%s / mot)
No,Non
Yes,Oui
The translator's work will be proofread and corrected by TextMaster,Le travail de l'auteur sera relu et corrigé par TextMaster.
Priority Order (+%s/word),Commande prioritaire (+%s / mot)
Your project will be assigned a higher priority status.,Votre projet sera mis en avant et placé en haut de liste.
Expertise (+%s/word),Expertise (+%s / mot)
We provide you with an expert in the selected category.,Nous vous trouvons un expert dans le domaine de votre choix.
Instructions du projet,Instructions du projet
Briefing,Briefing
Select a category,Sélectionner une catégorie
Category (optional),Catégorie (optionnel)
Single Author (Assign the entire project to a single TextMaster),Auteur unique (l'ensemble du projet sera traité par un seul auteur)
"Ensures better continuity, but longer turnaround time",Meilleure homogénéité éditoriale mais temps de traitement plus long
Project Summary,Récapitulatif du projet
Type of project,Type de projet
Total word count,Nombre total de mots
Total cost,Coût total du projet
Level and options,Niveau et options
Project's name,Nom du projet
Favorite authors,Auteurs favoris
Add credits to my TextMaster account,Commander des crédits manquants
%s/word,Soit %s / mot
Textmaster(s) chosen:,Textmaster(s) choisie(s) :
none,aucun
My Textmasters,Mes Textmasters
Choose your TextMasters,Sélectionner des TextMasters
Order Summary,Récapitulatif de la commande
Project,Projet
Word count,Nombre de mots
